"Time","UpDown","Degrees"
1390127245.5,0.99664795806045,174
1390127246.5,0.33772795841287,174
1390127247.5,1.9031462132448,174
1390127248.5,1.65928224701227,173
1390127249.5,0.777112601068424,173
1390127250.5,1.55216711972827,93
1390127251.5,1.8415493718184,95
1390127252.5,2.73524869104861,96
1390127253.5,1.1986185711683,97
1390127254.5,2.56501688712784,96
1390127255.5,2.72247979836243,97
1390127256.5,2.31856700677952,98
1390127257.5,1.6419474615771,96
1390127258.5,1.63003200367201,96
1390127259.5,2.708435637063,97
1390127260.5,2.07583217043928,97
1390127261.5,1.19048014586716,96
1390127262.5,2.71877782534743,97
1390127263.5,1.63983508924058,97
1390127264.5,2.07174605711313,98
1390127265.5,2.1082002346425,97
1390127266.5,2.48374310151956,97
1390127267.5,2.10099793848141,97
1390127268.5,2.07583217043928,97
1390127269.5,1.83371878444892,98
1390127270.5,1.89383690646768,97
1390127271.5,0.758882971743787,97
1390127272.5,1.21434725701073,98
1390127273.5,1.85184735244395,98
1390127274.5,1.42402087745261,98
1390127275.5,1.17506164989214,97
1390127276.5,1.21027566060989,98
1390127277.5,0.995089432643439,97
1390127278.5,2.68541744192204,98
1390127279.5,0.989255085417554,98
1390127280.5,1.43356807058093,96
1390127281.5,-21.5467834684993,38
1390127282.5,-6.5837932345971,15
1390127283.5,-3.64638779142544,13
1390127284.5,-3.4799809713124,12
1390127285.5,-3.48469815255349,14
1390127286.5,-3.87096605652562,16
1390127287.5,-3.25570611642881,16
1390127288.5,-3.24694032162657,15
1390127289.5,-2.9181814296268,18
1390127290.5,-2.26749545663766,21
1390127291.5,-3.11407377086643,20
1390127292.5,-3.22968908483806,19
1390127293.5,-2.99337080232557,18
1390127294.5,-1.68251796078376,22
1390127295.5,-2.07630172830484,22
1390127296.5,-2.11711436906992,21
1390127297.5,-1.650117928447,22
1390127298.5,-2.93280346912914,22
1390127299.5,-3.25031224967624,22
1390127300.5,-3.1962281158676,23
1390127301.5,-3.19246076860108,22
1390127302.5,-2.95020826758279,25
1390127303.5,-3.5079767023545,25
1390127304.5,-3.20143807909032,25
1390127305.5,-3.23536008311584,26
1390127306.5,-2.98054273466941,25
1390127307.5,-3.69584692300951,25
1390127308.5,-4.02585818496749,25
1390127309.5,-3.60497845635727,26
1390127310.5,-3.64126501672065,25
1390127311.5,-2.54475845688236,26
1390127312.5,-3.65468919530531,27
1390127313.5,-3.63570900273398,27
1390127314.5,-5.50085853932406,19
1390127315.5,-74.0190448433434,113
1390127316.5,-72.3072743664372,99
1390127317.5,-72.397166162203,97
1390127318.5,-71.8907611623569,99
1390127319.5,-70.8078216397036,102
1390127320.5,-71.1313467387498,100
1390127321.5,-72.2646577015541,104
1390127322.5,-72.3581955780419,105
1390127323.5,-73.3471129280139,104
1390127324.5,-72.9304399409468,107
1390127325.5,-71.7381894290913,104
1390127326.5,-72.4245938764303,102
1390127327.5,-72.4480924027679,107
1390127328.5,-71.6970860082213,106
1390127329.5,-73.2250043366734,105
1390127330.5,-72.2849807166662,102
1390127331.5,-72.1470194711259,104
1390127332.5,-72.6198806010458,104
1390127333.5,-73.9022772671992,108
1390127334.5,-73.5644492993214,105
1390127335.5,-73.0610470033222,110
1390127336.5,-73.3416631053581,107
1390127337.5,-72.6624212857942,107
1390127338.5,-72.9785830163197,106
1390127339.5,-73.6472877297191,105
1390127340.5,-73.106204145818,106
1390127341.5,-74.6574998880386,106
1390127342.5,-73.1197613029393,106
1390127343.5,-74.246295547217,106
1390127344.5,-72.855122015519,107
1390127345.5,-73.1921834930938,106
1390127346.5,-74.6561412562629,107
1390127347.5,-73.9446601635718,107
1390127348.5,-73.2506136291182,107
1390127349.5,-73.2629092405219,109
1390127350.5,-73.8371517534057,106
1390127351.5,-70.5056626675473,112
