"Time","UpDown","Degrees"
1390127160.5,63.7352793521303,57
1390127161.5,64.642007908115,55
1390127162.5,63.0592177854886,56
1390127163.5,58.9580907322351,57
1390127164.5,63.4885318565161,56
1390127165.5,61.2309368755176,49
1390127166.5,61.6281078549636,51
1390127167.5,62.2606391278005,51
1390127168.5,62.3946678190475,50
1390127169.5,64.1798194785292,51
1390127170.5,64.7613265723031,51
1390127171.5,65.0092784664014,50
1390127172.5,64.821980861847,48
1390127173.5,64.0593125003727,50
1390127174.5,64.7231563558941,50
1390127175.5,65.0821587561369,52
1390127176.5,64.8247557126784,48
1390127177.5,64.8064080814799,46
1390127178.5,64.9352352554328,47
1390127179.5,66.520624080105,45
1390127180.5,64.9139315636965,52
1390127181.5,64.8065578462097,48
1390127182.5,64.8787807955902,47
1390127183.5,65.1332062396605,49
1390127184.5,65.8259692790149,50
1390127185.5,65.9236588879739,48
1390127186.5,65.9196849833167,49
1390127187.5,7.36335854365991,229
1390127188.5,-3.63385558193984,242
1390127189.5,-2.8562402393395,241
1390127190.5,-3.14201527561606,239
1390127191.5,-1.95685469559854,241
1390127192.5,-1.97950342767739,239
1390127193.5,-1.97076385614527,240
1390127194.5,-1.96274156187778,240
1390127195.5,-1.94506193555725,240
1390127196.5,-1.49191641078899,239
1390127197.5,-1.72589932346713,240
1390127198.5,-1.71181256680802,239
1390127199.5,-2.19017847919085,240
1390127200.5,-2.86630441021647,241
1390127201.5,-3.5149405133449,239
1390127202.5,-2.19343864391524,240
1390127203.5,-3.30681280121274,239
1390127204.5,-2.89242249970776,241
1390127205.5,-2.16612062398686,240
1390127206.5,-2.69423762625577,239
1390127207.5,-2.43448250284258,239
1390127208.5,-2.42598792986176,239
1390127209.5,-2.8934135166146,239
1390127210.5,-3.11558732579705,239
1390127211.5,-3.10267677684618,239
1390127212.5,-3.54861864237492,238
1390127213.5,-3.30681280121274,239
1390127214.5,-2.91287069415546,238
1390127215.5,-3.36918793954413,238
1390127216.5,-3.52702345364872,239
1390127217.5,-1.72744969102904,236
1390127218.5,3.40448048953135,172
1390127219.5,2.15482184026941,172
1390127220.5,1.01126527200641,173
1390127221.5,1.89304993718383,173
1390127222.5,1.86518700702943,173
1390127223.5,1.00296359389505,173
1390127224.5,1.6851311033458,173
1390127225.5,0.994788499208752,173
1390127226.5,0.793499634972122,174
1390127227.5,1.23762828637247,174
1390127228.5,0.791948561950122,173
1390127229.5,1.90776280292584,173
1390127230.5,0.788316050343241,174
1390127231.5,1.22637311657054,173
1390127232.5,1.46124387008916,174
1390127233.5,1.24737200241786,174
1390127234.5,1.22578256982034,173
1390127235.5,0.783887857977319,174
1390127236.5,1.23866752917399,174
1390127237.5,1.00049336516079,174
1390127238.5,1.22694537127303,174
1390127239.5,1.01309001744771,174
1390127240.5,0.338271289440655,173
1390127241.5,0.333378540147365,174
1390127242.5,1.22749925546833,174
1390127243.5,0.567770773193345,175
1390127244.5,-0.338756366252397,174
