Source,Serial.Number,Start.Time,Segment.Start.Time,Segment.Duration,UpDown.mean,UpDown.median,UpDown.var,UpDown.sd,UpDown.mad,Degrees.mean,Degrees.median,Degrees.var,Degrees.sd,Degrees.mad,Step.count,Step.sd,Step.mad,Principal.Frequency.median,Principal.Frequency.mad,Principal.Frequency.ratio,Light.mean,Light.max,Temp.mean,Magnitude.mean,Activity
113,14680,1360761618,13:20:18,814,59.86,81.775,1403.481,37.463,0.933,149.608,142,509.112,22.564,5.93,6,21550.218,9252.907,13.8,20.312,1.729,11,101,26,0.999,nonwear
133,14680,1360764112,14:01:52,310,-81.634,-81.606,0.692,0.832,0.57,134.406,135,74.831,8.65,0,0,NA,0,21.5,18.829,1.44,42,59,27.5,0.999,nonwear
148,14680,1360765817,14:30:17,1794,-80.246,-80.284,2.147,1.465,0.572,121.484,121,9.196,3.032,2.965,0,NA,0,22.6,18.829,1.177,43,75,24.5,0.995,nonwear
169,14680,1360768805,15:20:05,1385,-82.279,-82.296,2.881,1.697,0.586,133.875,135,25.622,5.062,2.965,0,NA,0,23.45,19.793,1.14,29,37,24.6,0.996,nonwear
185,14680,1360771218,16:00:18,892,-81.982,-81.983,0.471,0.686,0.633,134.822,135,3.639,1.908,0,0,NA,0,21.2,18.829,1.212,24,29,24.3,0.995,nonwear
208,14680,1360773608,16:40:08,353,-60.93,-82.169,2457.156,49.57,0.696,148.518,129,2614.682,51.134,2.965,0,NA,0,18.3,22.239,1.379,24,72,26.3,1.001,nonwear
227,14680,1360774862,17:01:02,1194,82.654,82.644,0.361,0.601,0.584,147.014,147,12.556,3.543,2.965,0,NA,0,26.2,16.902,0.896,5,8,21.8,1.003,nonwear
228,14680,1360776056,17:20:56,57053,82.737,82.732,0.377,0.614,0.552,146.194,146,13.338,3.652,2.965,0,NA,0,25.1,18.829,0.991,1,37,18.3,1.004,nonwear
135,1,1390822329,11:32:09,1593,-4.203,-4.244,0.177,0.421,0.378,-39.299,-39,0.27,0.52,0,0,NA,0,26.6,17.346,0.898,0,0,20.2,0.973,nonwear
136,1,1390823922,11:58:42,852,-4.084,-4.059,0.187,0.432,0.386,-39.414,-39,0.281,0.53,0,0,NA,0,24.2,18.088,1.127,0,0,18.8,0.976,nonwear
137,1,1390824774,12:12:54,1660,-3.918,-3.948,0.164,0.405,0.392,-39.593,-40,0.286,0.535,0,0,NA,0,26.7,17.939,0.839,0,0,16.7,0.981,nonwear
138,1,1390826434,12:40:34,262,-3.905,-3.938,0.143,0.378,0.397,-39.718,-40,0.249,0.499,0,0,NA,0,22.1,15.271,1.217,0,0,15.5,0.984,nonwear
139,1,1390826696,12:44:56,183,-3.892,-3.825,0.181,0.425,0.399,-39.645,-40,0.241,0.491,0,0,NA,0,28.1,15.716,0.842,0,0,15.2,0.986,nonwear
140,1,1390826879,12:47:59,720,-3.827,-3.801,0.181,0.425,0.401,-39.733,-40,0.251,0.501,0,0,NA,0,23.8,18.384,1.134,0,0,14.8,0.986,nonwear
141,1,1390827599,12:59:59,716,-3.787,-3.769,0.172,0.415,0.362,-39.817,-40,0.236,0.486,0,0,NA,0,25.2,17.717,0.972,0,0,14.3,0.987,nonwear
142,1,1390828315,13:11:55,96,-3.751,-3.742,0.087,0.295,0.317,-39.781,-40,0.257,0.507,0,0,NA,0,18.5,16.086,1.571,0,0,13.8,0.988,nonwear
143,1,1390828411,13:13:31,332,-3.731,-3.747,0.19,0.436,0.373,-39.792,-40,0.22,0.469,0,0,NA,0,23.9,18.681,1.031,0,0,13.7,0.989,nonwear
144,1,1390828743,13:19:03,30,-3.742,-3.749,0.036,0.191,0.078,-39.867,-40,0.12,0.346,0,0,NA,0,24.8,13.343,1.5,0,0,13.6,0.988,nonwear
145,1,1390828773,13:19:33,78,-3.729,-3.74,0.191,0.437,0.386,-39.833,-40,0.193,0.439,0,0,NA,0,19.75,16.012,1.333,0,0,13.6,0.989,nonwear
146,1,1390828851,13:20:51,3550,-3.727,-3.738,0.171,0.413,0.363,-39.924,-40,0.21,0.458,0,0,NA,0,24.7,18.681,1.037,0,0,12.8,0.991,nonwear
147,1,1390832401,14:20:01,182,-3.733,-3.756,0.287,0.536,0.58,-39.929,-40,0.21,0.459,0,0,NA,0,27.5,20.163,0.944,0,0,12.2,0.992,nonwear
148,1,1390832583,14:23:03,600,-3.738,-3.734,0.157,0.396,0.348,-39.963,-40,0.219,0.468,0,0,NA,0,28.1,14.233,0.831,0,0,12.1,0.992,nonwear
149,1,1390833183,14:33:03,528,-3.747,-3.739,0.204,0.451,0.39,-39.983,-40,0.229,0.479,0,0,NA,0,25.45,19.867,0.943,0,0,11.9,0.992,nonwear
150,1,1390833711,14:41:51,1023,-3.762,-3.745,0.149,0.385,0.357,-39.943,-40,0.183,0.427,0,0,NA,0,22.2,17.05,1.295,0,0,11.5,0.992,nonwear
151,1,1390834734,14:58:54,1270,-3.81,-3.772,0.18,0.424,0.381,-39.843,-40,0.221,0.47,0,0,NA,0,24,17.939,1.172,0,0,10.9,0.993,nonwear
154,1,1390836437,15:27:17,1325,-3.812,-3.772,0.151,0.389,0.364,-39.894,-40,0.218,0.467,0,0,NA,0,24.65,18.903,1.047,0,0,10.1,0.994,nonwear
155,1,1390837762,15:49:22,225,-3.785,-3.756,0.139,0.373,0.341,-39.884,-40,0.246,0.495,0,0,NA,0,19.75,18.681,1.316,0,0,9.7,0.995,nonwear
156,1,1390837987,15:53:07,556,-3.762,-3.738,0.16,0.399,0.35,-39.901,-40,0.205,0.452,0,0,NA,0,23.45,20.015,1.245,0,0,9.5,0.996,nonwear
1,13891,1356316139,02:28:59,402,-31.097,-30.874,11.433,3.381,0.505,86.102,85,113.121,10.636,1.483,1,20791.768,21797.185,9.4,10.082,2.95,0,0,28.5,1.039,sleep
3,13891,1356316544,02:35:44,1837,4.532,4.577,1.153,1.074,0.408,189.04,189,4.492,2.119,1.483,0,NA,0,21.45,21.349,1.186,0,0,31,1.034,sleep
4,13891,1356318381,03:06:21,25,1.816,1.541,0.268,0.518,0.33,193.36,193,1.407,1.186,0,0,NA,0,16.5,21.424,1,0,0,32.4,1.031,sleep
5,13891,1356318406,03:06:46,390,2.943,2.996,0.16,0.401,0.335,184.367,184,0.346,0.588,0,0,NA,0,24.5,18.829,1.081,0,0,31.7,1.042,sleep
6,13891,1356318796,03:13:16,279,8.954,9.362,14.632,3.825,0.367,197.24,197,3.262,1.806,0,0,NA,0,22.1,18.384,1.571,0,0,32.1,1.028,sleep
8,13891,1356319077,03:17:57,155,9.904,11.056,8.951,2.992,0.488,184.916,184,4.155,2.038,1.483,0,NA,0,13.1,17.05,2.333,0,0,32.3,1.045,sleep
9,13891,1356319232,03:20:32,110,13.442,13.456,0.105,0.323,0.333,185.782,186,0.301,0.548,0,0,NA,0,26.1,16.902,0.909,0,0,31.6,1.04,sleep
10,13891,1356319342,03:22:22,397,13.262,13.283,0.089,0.298,0.305,196.035,196,0.372,0.61,0,0,NA,0,20.4,14.159,1.438,0,0,31,1.028,sleep
1,13893,1356316139,02:28:59,352,-35.825,-35.816,0.276,0.525,0.555,167.705,168,0.385,0.62,0,0,NA,0,0.2,0,10.333,0,0,33.4,1.045,sleep
2,13893,1356316492,02:34:52,51,-35.889,-36.595,30.075,5.484,1.1,151.176,163,492.868,22.201,1.483,1,3032.781,3179.436,0.1,0.148,Inf,0,0,33.5,1.049,sleep
3,13893,1356316543,02:35:43,771,-11.45,-11.451,0.21,0.458,0.397,177.433,177,0.373,0.611,0,0,NA,0,19.8,19.57,1.25,0,0,32.3,1.043,sleep
4,13893,1356317314,02:48:34,912,-11.561,-11.543,0.183,0.427,0.389,177.17,177,0.352,0.593,0,0,NA,0,24.5,19.126,1.069,0,0,32.9,1.045,sleep
5,13893,1356318226,03:03:46,154,-7.121,-6.883,10.097,3.178,0.465,173.455,174,4.093,2.023,0,0,NA,0,17.5,20.163,1.636,0,0,33.3,1.046,sleep
6,13893,1356318380,03:06:20,26,-9.256,-9.221,0.507,0.712,0.45,170.654,171,6.635,2.576,1.483,0,NA,0,10.75,10.452,3,0,0,33.5,1.053,sleep
7,13893,1356318406,03:06:46,393,-11.305,-11.302,0.187,0.433,0.428,169.494,169,0.332,0.576,0,0,NA,0,26.3,21.053,0.878,0,0,33.7,1.052,sleep
8,13893,1356318799,03:13:19,276,-12.417,-12.381,0.205,0.453,0.453,170.996,171,0.44,0.663,0,0,NA,0,21.7,16.309,1.7,0,0,33.8,1.05,sleep
9,13893,1356319075,03:17:55,23,-10.298,-9.888,3.173,1.781,0.559,175.696,176,14.221,3.771,1.483,0,NA,0,43.2,9.044,0.5,0,0,33.8,1.051,sleep
11,13893,1356319104,03:18:24,635,-11.543,-11.548,0.201,0.449,0.431,207.576,208,2.368,1.539,0,0,NA,0,20.75,18.829,1.471,0,0,30.6,1.014,sleep
1,13891,1356836219,02:56:59,806,36.959,36.926,0.32,0.565,0.425,203.881,204,0.961,0.98,1.483,0,NA,0,16.75,16.457,1.759,0,0,26.3,1.016,sleep
3,13891,1356837040,03:10:40,350,-8.442,-1.652,136.741,11.694,1.533,126.157,141,620.15,24.903,1.483,7,7571.614,1445.535,20.8,26.983,1.464,0,0,27,1.068,sleep
5,13891,1356837392,03:16:32,602,-10.299,-4.626,112.836,10.622,0.896,118.741,132,635.999,25.219,1.483,5,18011.659,830.997,11.7,17.05,2.4,0,0,26.2,1.054,sleep
6,13891,1356837994,03:26:34,392,-22.617,-22.82,17.696,4.207,0.406,111.903,112,68.707,8.289,0,4,17036.721,145.295,13.4,19.422,2.667,0,0,27.8,1.06,sleep
7,13891,1356838386,03:33:06,650,-3.438,-3.386,0.49,0.7,0.396,149.051,149,3.685,1.92,0,0,NA,0,29.7,21.201,0.72,0,0,29.2,1.06,sleep
9,13891,1356839039,03:43:59,401,9.468,9.198,28.542,5.342,0.422,273.022,274,52.477,7.244,0,0,NA,0,20.7,16.753,1.548,0,0,31.5,0.95,sleep
10,13891,1356839440,03:50:40,379,-0.007,0.019,0.608,0.78,0.314,146.464,146,1.101,1.049,0,0,NA,0,25.75,14.011,0.947,0,0,32,1.059,sleep
1,13891,1356316139,02:28:59,402,-31.097,-30.874,11.433,3.381,0.505,86.102,85,113.121,10.636,1.483,1,20791.768,21797.185,9.4,10.082,2.95,0,0,28.5,1.039,sleep
3,13891,1356316544,02:35:44,1837,4.532,4.577,1.153,1.074,0.408,189.04,189,4.492,2.119,1.483,0,NA,0,21.45,21.349,1.186,0,0,31,1.034,sleep
4,13891,1356318381,03:06:21,25,1.816,1.541,0.268,0.518,0.33,193.36,193,1.407,1.186,0,0,NA,0,16.5,21.424,1,0,0,32.4,1.031,sleep
5,13891,1356318406,03:06:46,390,2.943,2.996,0.16,0.401,0.335,184.367,184,0.346,0.588,0,0,NA,0,24.5,18.829,1.081,0,0,31.7,1.042,sleep
6,13891,1356318796,03:13:16,279,8.954,9.362,14.632,3.825,0.367,197.24,197,3.262,1.806,0,0,NA,0,22.1,18.384,1.571,0,0,32.1,1.028,sleep
8,13891,1356319077,03:17:57,155,9.904,11.056,8.951,2.992,0.488,184.916,184,4.155,2.038,1.483,0,NA,0,13.1,17.05,2.333,0,0,32.3,1.045,sleep
9,13891,1356319232,03:20:32,110,13.442,13.456,0.105,0.323,0.333,185.782,186,0.301,0.548,0,0,NA,0,26.1,16.902,0.909,0,0,31.6,1.04,sleep
10,13891,1356319342,03:22:22,397,13.262,13.283,0.089,0.298,0.305,196.035,196,0.372,0.61,0,0,NA,0,20.4,14.159,1.438,0,0,31,1.028,sleep
1,13893,1356316139,02:28:59,352,-35.825,-35.816,0.276,0.525,0.555,167.705,168,0.385,0.62,0,0,NA,0,0.2,0,10.333,0,0,33.4,1.045,sleep
2,13893,1356316492,02:34:52,51,-35.889,-36.595,30.075,5.484,1.1,151.176,163,492.868,22.201,1.483,1,3032.781,3179.436,0.1,0.148,Inf,0,0,33.5,1.049,sleep
3,13893,1356316543,02:35:43,771,-11.45,-11.451,0.21,0.458,0.397,177.433,177,0.373,0.611,0,0,NA,0,19.8,19.57,1.25,0,0,32.3,1.043,sleep
4,13893,1356317314,02:48:34,912,-11.561,-11.543,0.183,0.427,0.389,177.17,177,0.352,0.593,0,0,NA,0,24.5,19.126,1.069,0,0,32.9,1.045,sleep
5,13893,1356318226,03:03:46,154,-7.121,-6.883,10.097,3.178,0.465,173.455,174,4.093,2.023,0,0,NA,0,17.5,20.163,1.636,0,0,33.3,1.046,sleep
6,13893,1356318380,03:06:20,26,-9.256,-9.221,0.507,0.712,0.45,170.654,171,6.635,2.576,1.483,0,NA,0,10.75,10.452,3,0,0,33.5,1.053,sleep
7,13893,1356318406,03:06:46,393,-11.305,-11.302,0.187,0.433,0.428,169.494,169,0.332,0.576,0,0,NA,0,26.3,21.053,0.878,0,0,33.7,1.052,sleep
8,13893,1356318799,03:13:19,276,-12.417,-12.381,0.205,0.453,0.453,170.996,171,0.44,0.663,0,0,NA,0,21.7,16.309,1.7,0,0,33.8,1.05,sleep
9,13893,1356319075,03:17:55,23,-10.298,-9.888,3.173,1.781,0.559,175.696,176,14.221,3.771,1.483,0,NA,0,43.2,9.044,0.5,0,0,33.8,1.051,sleep
11,13893,1356319104,03:18:24,635,-11.543,-11.548,0.201,0.449,0.431,207.576,208,2.368,1.539,0,0,NA,0,20.75,18.829,1.471,0,0,30.6,1.014,sleep
1,13891,1356836219,02:56:59,806,36.959,36.926,0.32,0.565,0.425,203.881,204,0.961,0.98,1.483,0,NA,0,16.75,16.457,1.759,0,0,26.3,1.016,sleep
3,13891,1356837040,03:10:40,350,-8.442,-1.652,136.741,11.694,1.533,126.157,141,620.15,24.903,1.483,7,7571.614,1445.535,20.8,26.983,1.464,0,0,27,1.068,sleep
5,13891,1356837392,03:16:32,602,-10.299,-4.626,112.836,10.622,0.896,118.741,132,635.999,25.219,1.483,5,18011.659,830.997,11.7,17.05,2.4,0,0,26.2,1.054,sleep
6,13891,1356837994,03:26:34,392,-22.617,-22.82,17.696,4.207,0.406,111.903,112,68.707,8.289,0,4,17036.721,145.295,13.4,19.422,2.667,0,0,27.8,1.06,sleep
7,13891,1356838386,03:33:06,650,-3.438,-3.386,0.49,0.7,0.396,149.051,149,3.685,1.92,0,0,NA,0,29.7,21.201,0.72,0,0,29.2,1.06,sleep
9,13891,1356839039,03:43:59,401,9.468,9.198,28.542,5.342,0.422,273.022,274,52.477,7.244,0,0,NA,0,20.7,16.753,1.548,0,0,31.5,0.95,sleep
10,13891,1356839440,03:50:40,379,-0.007,0.019,0.608,0.78,0.314,146.464,146,1.101,1.049,0,0,NA,0,25.75,14.011,0.947,0,0,32,1.059,sleep
1,13895,1359721424,12:23:44,26,21.877,26.74,401.078,20.027,18.605,154.37,140,2026.858,45.021,19.274,1,1609.375,1687.199,0.1,0,Inf,29,53,27.7,1.055,walk
2,13895,1359721451,12:24:11,22,14.079,12.871,117.081,10.82,6.301,280.318,284,517.942,22.758,17.791,1,306.177,320.983,0.1,0,Inf,10,83,27.1,0.924,walk
3,13895,1359721473,12:24:33,61,-41.038,-61.928,1726.747,41.554,23.726,196.672,198,4508.324,67.144,42.995,11,448.445,201.634,0.7,0.89,Inf,24,152,26.9,1.047,walk
5,13895,1359721535,12:25:35,98,-5.736,-4.977,203.259,14.257,7.513,268.837,281.5,4477.581,66.915,22.98,8,966.896,661.24,0.4,0.519,Inf,273,363,26,0.972,walk
6,13895,1359721633,12:27:13,33,-5.54,-2.219,105.799,10.286,5.487,280.515,293,3723.383,61.02,20.756,2,1163.052,524.84,0.1,0,Inf,281,355,24.3,1.008,walk
7,13895,1359721666,12:27:46,28,-15.19,-12.867,127.212,11.279,6.334,287,292.5,212,14.56,15.567,6,312.263,299.485,0.1,0,Inf,252,320,23.7,0.967,walk
8,13895,1359721694,12:28:14,33,-10.301,-7.158,126.081,11.229,6.626,262.909,261,127.96,11.312,8.896,6,518.719,173.464,1.5,0,Inf,297,365,23,0.962,walk
10,13895,1359721743,12:29:03,42,-6.773,-4.859,92.852,9.636,6.04,268.429,272.5,2857.519,53.456,26.687,10,439.468,266.868,0.1,0,Inf,52,339,22.1,0.993,walk
12,13895,1359721788,12:29:48,144,-0.156,-0.019,107.181,10.353,7.026,258.562,256,479.101,21.888,17.791,18,1197.452,277.246,0.1,0.148,Inf,0,8,22,0.979,walk
13,13895,1359721932,12:32:12,87,-6.413,-2.608,429.147,20.716,13.662,252.632,246,791.468,28.133,37.065,16,336.93,349.894,0.1,0.074,Inf,0,11,22.7,0.986,walk
15,13895,1359722021,12:33:41,73,-50.891,-67.546,1257.725,35.464,18.659,188.74,236,13046.667,114.222,51.891,14,518.264,260.938,1.4,0.148,Inf,334,443,23,1.027,walk
16,13895,1359722094,12:34:54,47,-69.297,-72.046,107.7,10.378,6.399,228.617,246,2595.85,50.949,35.582,0,NA,0,3.15,2.224,Inf,209,389,22.6,1.013,walk
17,13895,1359722141,12:35:41,37,-58.42,-63.276,575.273,23.985,8.412,216.324,229,4089.225,63.947,25.204,12,345.728,149.743,1.6,1.26,Inf,232,341,22.6,1.058,walk
18,13895,1359722178,12:36:18,32,-70.567,-70.078,84.792,9.208,8.563,200.219,225,7098.757,84.254,27.428,7,591.834,239.44,1.5,0.148,Inf,356,397,22.3,1.044,walk
19,13895,1359722210,12:36:50,25,-68.361,-70.482,164.207,12.814,10.31,208.8,208,2188,46.776,25.204,11,268.55,91.18,1.5,0,Inf,243,387,21.8,1.101,walk
20,13895,1359722235,12:37:15,33,-69.147,-72.142,133.861,11.57,10.483,196.818,212,7801.028,88.323,29.652,2,928.174,781.33,4.6,0.297,Inf,280,347,21.2,1.085,walk
21,13895,1359722268,12:37:48,39,-55.401,-69.299,1118.746,33.448,16.818,180.538,208,8210.202,90.61,32.617,1,211.425,221.649,3.65,1.408,Inf,310,477,20.5,1.066,walk
22,13895,1359722307,12:38:27,22,9.559,14.003,1990.672,44.617,53.748,216.318,214,2934.989,54.176,67.458,2,441.701,14.826,0.2,0.148,Inf,92,315,20.1,1.066,walk
23,13895,1359722329,12:38:49,25,7.321,0.096,506.863,22.514,7.574,251.72,245,2168.293,46.565,40.03,3,569.772,713.872,0.1,0,Inf,38,208,19.9,0.975,walk
1,13901,1359721424,12:23:44,52,3.071,4.832,182.735,13.518,8.373,221.283,226,1540.553,39.25,40.03,4,429.709,403.267,0.2,0.148,Inf,10,64,27.6,1.024,walk
3,13901,1359721481,12:24:41,94,-16.697,-31.141,2682.879,51.797,63.268,211.404,251.5,11128.76,105.493,45.961,29,315.044,199.41,0.1,0.148,Inf,30,299,26.5,1.058,walk
4,13901,1359721575,12:26:15,29,13.79,18.112,970.722,31.156,10.105,237.345,228,1507.948,38.832,23.722,15,133.928,131.951,0.05,0.074,Inf,72,109,25.7,1.04,walk
5,13901,1359721604,12:26:44,38,26.901,24.942,223.391,14.946,6.832,236.974,235,358.459,18.933,15.567,16,325.297,85.991,1.4,0.148,Inf,69,192,25.1,0.997,walk
6,13901,1359721642,12:27:22,28,-35.03,-56.995,1897.6,43.561,27.681,164.107,249.5,23361.358,152.844,79.319,14,110.567,124.538,0.05,0.074,Inf,46,267,24.8,1.04,walk
7,13901,1359721670,12:27:50,67,7.548,7.42,1121.174,33.484,13.745,224.403,242,7323.275,85.576,22.239,17,286.464,286.142,0.1,0.148,Inf,205,365,24.2,1.004,walk
