Source,Serial.Number,Start.Time,Segment.Start.Time,Segment.Duration,UpDown.mean,UpDown.median,UpDown.var,UpDown.sd,UpDown.mad,Degrees.mean,Degrees.median,Degrees.var,Degrees.sd,Degrees.mad,Step.count,Step.sd,Step.mad,Principal.Frequency.median,Principal.Frequency.mad,Principal.Frequency.ratio,Light.mean,Light.max,Temp.mean,Magnitude.mean,Activity
1,10703,1370974499,18:14:59,28,-62.096,-61.772,56.103,7.49,7.829,210.207,205,356.456,18.88,17.791,33,63.617,24.463,1,0,Inf,322,371,24,0.988,walk
2,10703,1370974528,18:15:28,46,-61.661,-61.262,92.323,9.608,12.516,205.152,200.5,526.976,22.956,14.085,41,70.034,57.821,1.45,0.667,Inf,271,289,24.8,1.133,walk
3,10703,1370974574,18:16:14,52,-61.896,-63.078,45.015,6.709,5.886,204.019,200,153.902,12.406,9.637,30,316.671,34.1,1.9,0,Inf,287,361,25.1,1.124,walk
4,10703,1370974626,18:17:06,102,-30.152,-41,1356.404,36.829,30.689,166.863,219,10713.466,103.506,31.135,91,112.545,59.304,2.7,0.148,Inf,265,328,24.9,2.477,run
6,10703,1370974765,18:19:25,46,-13.663,-16.938,102.166,10.108,0.779,148.717,144,196.341,14.012,1.483,0,NA,0,0.15,0.222,Inf,237,314,24.6,0.972,sit
7,10703,1370974811,18:20:11,30,6.814,6.819,0.481,0.693,0.518,174.933,175,0.754,0.868,1.483,0,NA,0,0.1,0.148,Inf,329,344,24.9,0.995,sit
8,10703,1370974841,18:20:41,34,20.098,20.317,267.571,16.358,14.872,172.118,163.5,1216.349,34.876,32.617,3,921.98,526.323,0.3,0.297,Inf,257,353,25.6,1.052,drive
9,10703,1370974875,18:21:15,30,12.676,11.773,111.302,10.55,8.866,179.1,179.5,47.955,6.925,8.154,0,NA,0,0.1,0,Inf,269,328,26.1,0.988,drive
10,10703,1370974905,18:21:45,45,14.719,15.748,167.336,12.936,12.128,175.356,178,852.234,29.193,16.309,2,1936.967,259.455,0.1,0.074,Inf,248,287,26.5,1.058,drive
11,10703,1370974950,18:22:30,55,15.106,15.789,102.135,10.106,6.114,178.818,179,41.374,6.432,7.413,0,NA,0,1,0.964,Inf,248,281,26.9,1.003,drive
12,10703,1370975005,18:23:25,84,13.261,14.287,187.865,13.706,9.616,162.226,162.5,197.069,14.038,11.119,1,4701.553,4928.904,1.7,2.372,Inf,241,285,27.2,1.062,drive
13,10703,1370975089,18:24:49,69,15.799,17.381,92.501,9.618,7.903,168.188,168,240.243,15.5,11.861,0,NA,0,0.1,0.074,Inf,262,342,27.5,1.014,drive
14,10703,1370975158,18:25:58,33,16.324,16.926,133.545,11.556,9.484,171.182,170,208.841,14.451,10.378,0,NA,0,0.1,0,Inf,254,336,27.7,1.051,drive
15,10703,1370975191,18:26:31,20,19.433,20.082,114.339,10.693,9.037,159.7,154,1085.379,32.945,24.463,0,NA,0,0.1,0,Inf,250,338,27.8,1.076,drive
33,14680,1360319404,10:30:04,1519,-0.596,-0.615,3.425,1.851,0.338,131.657,132,119.451,10.929,0,0,NA,0,22.3,19.496,1.188,8,19,24.4,0.994,nonwear
54,14680,1360322067,11:14:27,351,5.307,0.501,186.298,13.649,0.655,143.96,133,988.787,31.445,0,1,24658.935,25851.355,15.1,18.829,2,13,29,26.5,0.994,nonwear
68,14680,1360324789,11:59:49,1844,0.879,0.283,31.224,5.588,0.334,133.768,132,167.017,12.924,0,3,88992.596,2103.068,20.6,18.681,1.377,8,40,24.9,0.995,nonwear
124,14680,1360329637,13:20:37,638,1.422,0.724,53.418,7.309,0.36,133.828,133,132.058,11.492,0,2,35573.98,1894.763,22.6,20.608,1.296,9,21,26.4,0.997,nonwear
148,14680,1360332005,14:00:05,318,2.311,0.279,114.798,10.714,0.655,131.396,131,273.943,16.551,0,1,22435.791,23520.708,18.35,19.644,1.48,2,11,27.6,1.013,nonwear
166,14680,1360333711,14:28:31,2038,1.9,0.511,104.251,10.21,0.647,133.895,132,270.229,16.439,0,15,47519.606,524.84,16.8,18.384,1.812,1,21,25.5,0.995,nonwear
177,14680,1360336777,15:19:37,1266,1.249,0.719,15.385,3.922,0.359,131.73,131,78.267,8.847,0,1,88448.452,92725.51,19.65,19.051,1.471,1,8,26.1,0.995,nonwear
195,14680,1360339184,15:59:44,1244,-0.77,-0.618,37.068,6.088,0.341,132.183,131,177.464,13.322,0,2,71173.669,810.982,21.9,20.46,1.216,0,16,26.1,0.997,nonwear
208,14680,1360341545,16:39:05,381,3.262,2.315,39.574,6.291,0.647,135.428,131,498.061,22.317,1.483,3,15216.125,4332.898,12.7,18.681,1.679,0,5,27.3,0.992,nonwear
219,14680,1360342736,16:58:56,4103,76.068,76.056,0.17,0.412,0.401,234.077,234,6.539,2.557,2.965,0,NA,0,24.4,19.422,1.03,0,8,22.3,0.994,nonwear
220,14680,1360346839,18:07:19,17498,75.981,75.966,0.163,0.404,0.399,235.126,235,6.286,2.507,2.965,0,NA,0,25.1,18.533,0.984,0,0,19.1,0.993,nonwear
221,14680,1360364337,22:58:57,55361,75.912,75.896,0.163,0.404,0.401,235.832,236,6.363,2.522,2.965,0,NA,0,24.4,18.384,1.045,0,5,17.4,0.992,nonwear
38,14680,1360665085,10:31:25,1427,0.824,0.841,0.865,0.93,0.347,130.259,130,0.712,0.844,0,0,NA,0,23.1,18.236,1.246,51,80,18.8,0.992,nonwear
55,14680,1360667715,11:15:15,293,-1.79,-1.666,1.092,1.045,0.286,128.898,129,7.202,2.684,0,0,NA,0,14.8,18.236,1.667,84,96,22.2,0.991,nonwear
66,14680,1360668611,11:30:11,908,-0.345,-0.506,6.709,2.59,0.34,132.639,131,294.083,17.149,0,0,NA,0,21.5,19.422,1.308,82,96,21.9,0.993,nonwear
75,14680,1360670426,12:00:26,1779,-0.548,-0.509,0.925,0.962,0.338,131.53,132,0.818,0.905,0,1,125688.937,131766.816,22.95,18.458,1.172,77,91,20.9,0.993,nonwear
112,14680,1360675028,13:17:08,783,9.213,-0.738,407.47,20.186,0.665,157.812,130,2825.807,53.158,1.483,3,28353.167,7175.043,12.9,18.977,2.143,42,115,23.3,0.998,nonwear
142,14680,1360677617,14:00:17,315,-6.949,-1.431,322.919,17.97,0.406,158.956,129,3572.775,59.773,1.483,3,9831.346,1586.382,3.3,4.893,2.1,51,155,24.3,1.034,nonwear
159,14680,1360679459,14:30:59,1743,-81.897,-81.897,0.402,0.634,0.565,135.012,135,4.46,2.112,0,0,NA,0,28,17.939,0.826,32,43,22.5,0.994,nonwear
178,14680,1360682423,15:20:23,1276,-78.457,-83.226,401.832,20.046,0.646,125.621,121,583.316,24.152,4.448,3,60264.051,2388.469,22,20.756,1.117,32,72,19.7,0.992,nonwear
193,14680,1360684818,16:00:18,884,0.323,0.388,0.192,0.438,0.337,129.812,130,0.742,0.861,0,0,NA,0,22.4,19.57,1.215,36,48,22.6,0.994,nonwear
206,14680,1360687407,16:43:27,10447,-82.421,-82.41,0.387,0.622,0.609,137.906,137,10.289,3.208,2.965,1,738464.846,774174.431,25,18.532,0.999,0,16,18.7,0.992,nonwear
207,14680,1360697854,19:37:34,47786,-82.549,-82.55,0.372,0.61,0.58,138.469,138,9.211,3.035,2.965,0,NA,0,25.3,18.532,0.985,1,64,16.6,0.99,nonwear
17,14680,1360747344,09:22:24,730,-81.389,-82.219,70.756,8.412,0.62,134.74,135,69.762,8.352,2.965,0,NA,0,18.6,17.346,1.544,22,104,23.5,0.997,nonwear
43,14680,1360749613,10:00:13,648,-81.931,-82.159,9.577,3.095,0.627,130.696,131,11.992,3.463,1.483,0,NA,0,23.75,17.643,1.153,99,107,24.8,0.995,nonwear
58,14680,1360751417,10:30:17,1486,-82.696,-82.695,2.314,1.521,0.594,130.95,131,9.756,3.124,2.965,0,NA,0,21.15,19.051,1.277,80,101,24.7,0.995,nonwear
69,14680,1360754114,11:15:14,324,-81.362,-81.392,1.519,1.233,0.547,132.522,132,14.622,3.824,1.483,0,NA,0,20.7,14.529,1.333,102,109,27.4,0.997,nonwear
79,14680,1360755075,11:31:15,839,81.241,81.328,7.978,2.824,0.589,147.781,148,14.348,3.788,2.965,0,NA,0,22.6,20.312,1.115,66,128,25.8,1.001,nonwear
88,14680,1360756805,12:00:05,1806,-82.559,-82.609,1.987,1.41,0.621,133.026,133,13.356,3.655,2.965,0,NA,0,20.6,18.236,1.384,12,16,24.3,0.995,nonwear
