UpDown.mean,UpDown.median,UpDown.var,UpDown.sd,UpDown.mad,Degrees.mean,Degrees.median,Degrees.var,Degrees.sd,Degrees.mad,Magnitude.sum,Magnitude.mean,Magnitude.energy,Activity
-35.81824638,-45.74026003,1475.337554,38.41012307,39.26587469,171.2924242,183,4259.078243,65.26161386,35.5824,719.2471473,1.089768405,0.001515152,active
-33.04769063,-38.56630263,1407.772487,37.52029434,43.85400834,167.2073733,176,3908.669238,62.51935091,32.6172,720.22765,1.106340476,0.001536098,active
-32.07854182,-41.01629958,1531.320214,39.13208676,42.93915894,163.7151515,175,4168.355764,64.5628048,38.5476,779.5005513,1.181061441,0.001515152,active
-43.75367008,-52.59263294,1159.026162,34.04447329,28.44272272,162.7232416,190,7712.696641,87.8219599,44.478,930.9436448,1.423461231,0.001529052,active
-49.12437121,-56.73784829,1055.410264,32.48707842,30.46928776,165.7052469,192,7280.100003,85.32350206,40.0302,774.6951463,1.195517201,0.00154321,active
-46.35137306,-53.71224711,1056.124786,32.49807357,28.00959635,163.5560748,191,7554.025712,86.91389827,41.5128,810.5007719,1.262462262,0.001557632,active
-21.578981,-24.94122914,386.2749547,19.65387887,5.839042868,15.24092971,19,1962.310042,44.29796883,8.8956,1814.440816,1.028594567,0.000566893,active
-11.51750391,-8.179007172,219.6884547,14.82189106,15.82552882,117.5705404,113,704.1705001,26.53621111,35.5824,2192.019979,1.048311802,0.00047824,active
11.60489697,6.611014119,416.891579,20.41792299,6.905248756,180.3824617,180,1041.78705,32.27672613,16.3086,1900.047141,1.003722737,0.000528262,active
-17.48392555,-21.27062841,277.2704627,16.65144026,6.305074006,141.3518198,124,4406.735689,66.38324856,17.7912,1766.05854,1.020253345,0.000577701,active
13.9144967,12.80568875,455.0338519,21.33152249,6.994772384,195.1622047,237,10289.87546,101.4390234,10.3782,1845.192195,0.968604827,0.000524934,active
-12.63124342,-14.4324576,116.2465148,10.7817677,7.976181126,208.5772595,211,520.1965074,22.80781681,5.9304,2004.78752,0.974143596,0.000485909,active
0.907338685,-0.73138848,354.0163508,18.81532223,8.79868706,161.0379747,167,1754.452622,41.88618653,19.2738,967.1718104,1.020223429,0.001054852,active
-6.480086583,-6.172063827,740.1234064,27.20520918,17.87400916,164.0819113,165,959.8976109,30.98221443,22.239,905.1683784,1.029770624,0.001137656,active
-6.563505135,-5.958922699,801.271286,28.3067357,21.18901787,134.0193402,140,1314.403954,36.2547094,35.5824,919.9650743,1.04660418,0.001137656,active
6.080505826,9.820551986,452.7915472,21.27889911,8.191814073,119.2101911,125,618.5338812,24.8703414,31.1346,974.2587755,1.034244985,0.001061571,active
15.79120223,23.1854071,324.3828067,18.01063038,15.52650652,201.8084656,195,1144.674081,33.83303239,17.7912,936.8306494,0.991355185,0.001058201,active
29.60747423,30.13897111,64.19335861,8.012075799,2.056459651,156.3479319,155,530.2417679,23.02697913,8.8956,833.6537542,1.014177317,0.001216545,active
29.370074,28.51857716,53.78824317,7.334046848,1.118407103,105.4,104,206.6120419,14.37400577,4.4478,795.8968565,1.040388048,0.00130719,active
32.92688916,34.31958727,113.2902839,10.64379086,1.405798958,116.5107527,118,260.1963849,16.13060398,1.4826,774.0962991,1.040452015,0.001344086,active
41.19974964,41.3678553,27.86824649,5.279038405,2.352145659,201.3068592,203,223.8250011,14.9607821,4.4478,818.967352,0.985520279,0.001203369,active
41.04865981,42.06718379,58.53545091,7.650846418,1.654853776,177.6756757,180,473.5364308,21.76089223,2.9652,784.1382136,1.00918689,0.001287001,active
4.075999379,0.303358645,163.7365729,12.79595924,6.953492719,192.013382,189,177.9303932,13.33905518,7.413,817.7349379,0.99481136,0.001216545,active
6.628687365,5.943495632,1531.407811,39.13320598,58.39856585,181.9108796,181,2907.956127,53.92546826,62.2692,865.7595613,1.002036529,0.001157407,active
-5.329485841,-27.4046868,1291.832188,35.94206711,11.21124085,185.0045977,202,1663.277309,40.78329694,17.7912,864.7149206,0.993925196,0.001149425,active
12.70905513,11.37917683,70.48301037,8.395416033,5.26977115,141.6190476,142,127.5385075,11.2932948,2.9652,824.3814243,1.033059429,0.001253133,active
8.983380996,9.328559343,218.0062554,14.76503489,3.691542278,159.015873,149,998.2063312,31.59440348,7.413,902.5096435,1.023253564,0.001133787,active
